fic,gvkey,datadate,iid,conm
JPN,15811,31/1/06,01W,MIZUHO SECURITIES CO LTD
JPN,15812,31/1/06,01W,NISSHIN FIRE & MARINE INS CO
JPN,15816,31/1/06,01W,SHIZUOKA FINANCIAL GROUP INC
GBR,15821,31/1/06,02W,WARBURG SG GROUP
GBR,15833,31/1/06,01W,COATS GROUP PLC
BMU,15840,31/1/06,01W,GUOCO GROUP LTD
CHE,15844,31/1/06,01W,BANQUE CANTONALE DU JURA
ESP,15846,31/1/06,01W,BANKINTER SA
,15848,31/1/06,01W,
ITA,15862,31/1/06,01W,UNIPOL ASSICURAZIONI SPA
,41996,31/3/20,01W,
CHE,15865,31/1/06,01W,ZUGER KANTONAL BANK
AUT,15866,31/1/06,03W,GENERALI HLDG VIENNA AG
ITA,15869,31/1/06,01W,MILANO ASSICURAZIONI
JPN,15875,31/1/06,01W,NIPPONKOA INSURANCE CO LTD
JPN,15876,31/1/06,01W,ORIENT CORP
FIN,15883,31/1/06,01W,ALANDSBANKEN AB
AUS,15889,31/1/06,01W,ANZ GROUP HOLDINGS LIMITED
AUT,15894,31/10/08,02W,BKS BANK AG
ITA,15890,31/1/06,03W,ALLEANZA ASSICURAZIONI
GBR,15897,31/1/06,01W,BRIXTON PLC
JPN,15901,31/1/06,01W,CENTRAL FINANCE CO LTD
LIE,15935,31/5/17,03W,LIECHTENSTEINISCHE LAND
FRA,15908,31/1/06,01W,EURAZEO SE
GBR,15910,31/1/06,01W,THE MERCANTILE INV TRUST PLC
FRA,15911,31/1/06,01W,SOCIETE FONCIERE LYONNAISE
AUS,15912,31/1/06,01W,THE GPT GROUP
ITA,15914,31/1/06,01W,UNIPOLSAI ASSICURAZIONI SPA
GBR,15916,31/1/06,01W,TEMPLE BAR INVESTMENT TR PLC
JPN,15919,31/1/06,01W,HEIWA REAL ESTATE CO LTD
MYS,15921,31/1/06,01W,HONG LEONG FINANCIAL GP BHD
,42284,31/12/21,01W,
SWE,15922,31/1/06,03W,HUFVUDSTADEN AB
JPN,15926,31/1/06,01W,JOYO BANK LTD
GBR,15927,31/1/06,01W,THE CITY OF LONDON INVESTMEN
GBR,15929,31/1/06,01W,LLOYDS BANKING GROUP PLC
AUS,15932,31/1/06,01W,WESTFIELD CORP
JPN,15933,31/1/06,01W,SOMPO HOLDINGS INC
DEU,15934,31/1/06,02W,GENERAL REINSURANCE AG
FRA,15936,31/1/06,01W,KLEPIERRE SA
JPN,15937,31/1/06,01W,SEVENTY SEVEN BANK LTD
,16113,31/12/11,01W,
ITA,16166,31/1/06,01W,ACQUA PIA ANTICA MARCIA SPA
ITA,16170,31/1/06,01W,RETI BANCARIE HOLDING SPA
ZAF,16179,31/1/06,01W,SYCOM PROPERTY FUND
ZAF,16183,31/1/06,01W,GROWTHPOINT PROPERTIES LTD
,42950,31/12/21,01W,
ESP,16184,31/1/06,01W,BANCO DE ANDALUCIA
AUS,16189,31/1/06,01W,STOCKLAND
CHE,16200,31/1/06,01W,BANK LINTH LLB AG
ITA,16211,31/1/06,01W,BRIOSCHI SVILUPPO IMMOBILIAR
CHE,16215,31/1/06,02W,BERNER KANTONALBANK
CHE,16258,31/1/06,02W,NATIONAL SUISSE
ITA,16262,31/1/06,01W,PIRELLI & CO
ITA,16267,31/1/06,01W,LEONARDO SPA
IRL,16277,31/1/06,01W,IFG GROUP PLC
ESP,16281,31/1/06,01W,MAPFRE
ITA,16289,31/1/06,01W,CIR S.P.A. COMPAGNIE INDUSTR
ITA,16290,31/1/06,01W,SOPAF SPA
ZAF,16291,31/1/06,02W,FOUNTAINHEAD PROPERTY TRUST
ITA,16296,31/1/06,01W,BANCA FINNAT EURAMERICA SPA
SWE,16299,31/1/06,01W,LATOUR INVESTMENT AB
JPN,16301,31/1/06,01W,TOKYO TATEMONO CO LTD
ZAF,16305,31/1/06,01W,ABSA GROUP LTD
ESP,16307,31/1/06,01W,UNION EUROPEA DE INVERSIONES
,43026,31/12/21,01W,
ESP,16308,31/1/06,01W,URBIS-INMOBILIARIA SA
LIE,16310,31/1/06,01W,VP BANK AG
ITA,16313,31/1/06,01W,GEMINA
FRA,16383,30/9/14,03W,UNIBAIL RODAMCO WESTFIELD SE
FRA,16321,31/1/06,01W,SIIC DE PARIS
NLD,16331,31/1/06,01W,EXOR N V
ITA,16332,31/1/06,03W,ITALMOBILIARE SPA
,27481,30/4/25,01W,
BMU,16334,31/1/06,02W,JARDINE STRATEGIC LIMITED
NZL,16335,31/1/06,01W,TRANS TASMAN PROPERTIES LTD
ESP,16343,31/1/06,01W,GENERAL DE INVERSIONES
ESP,16346,31/1/06,01W,METROVACESA SA
ITA,16347,31/1/06,01W,MITTEL SPA
ITA,16348,31/1/06,03W,INTESA SANPAOLO SPA
CHE,16349,31/1/06,02W,HELVETIA HOLDING AG
SWE,16352,31/1/06,04W,ORESUND INVESTMENT
,27482,30/6/16,01W,
ZAF,16355,31/1/06,01W,PANGBOURNE PPTYS LTD
ZAF,16356,31/1/06,01W,HYPROP INVESTMENTS
FRA,16362,31/1/06,01W,SILIC SA
CHE,16365,31/1/06,03W,BANK SARASIN & CIE AG
FIN,16375,31/1/06,01W,JULIUS TALLBERG-KIINTEI
,43057,31/12/21,01W,
FIN,16380,31/1/06,03W,NORVESTIA OY AB
,16384,31/12/11,01W,
ITA,16386,31/1/06,01W,VITTORIA ASSICURAZIONI
FRA,16388,31/1/06,01W,LOCINDUS
JPN,16392,31/1/06,01W,MIZUHO INVESTORS SEC CO LTD
FIN,16393,31/1/06,01W,INTERAVANTI OY
ITA,16397,31/1/06,01W,BANCA FIDEURAM SPA
FIN,16398,31/1/06,01W,CITYCON OYJ
JPN,16399,31/1/06,01W,HITACHI CAPITAL CORP
BMU,16403,31/1/06,01W,STOLT NIELSEN LTD
GBR,16436,31/1/06,01W,CABLE & WIRELESS COMM PLC
ZAF,16443,31/1/06,02W,GENCOR
ITA,16446,31/1/06,01W,AEDES SPA
BEL,16447,31/1/06,01W,AGEAS SA/NV
HKG,16538,31/1/06,01W,CATHAY PACIFIC AIRWAYS LTD
HKG,16621,30/6/19,04W,THE WHARF (HOLDINGS) LTD
AUS,16560,31/1/06,01W,ALUMINA LTD
HKG,16590,31/1/06,01W,POWER ASSETS HOLDINGS LTD
HKG,16591,31/1/06,01W,HOPEWELL HOLDINGS LTD
AUS,16602,29/2/16,01W,THE IQ GROUP GLOBAL LTD
CHE,16603,31/1/06,01W,NESTLE SA/AG
ZAF,16610,31/1/06,01W,VALTERRA PLATINUM LIMITED
,16653,31/12/11,01W,
,16777,31/1/06,01W,
,17132,31/1/06,01W,
,17199,31/1/06,01W,
,17228,31/1/13,01W,
,17277,31/12/11,01W,
ZAF,17287,28/2/13,01W,SIBANYE-STILLWATER LIMITED
SWE,17420,31/12/07,14W,ATLAS COPCO AB (PUBL)
ZAF,17315,31/1/06,03W,AFRICAN RAINBOW MINERALS LTD
GBR,17404,31/1/06,01W,ASSOCIATED BRITISH FOODS PLC
MYS,17417,31/1/06,01W,BOUSTEAD HOLDINGS BHD
DEU,17436,31/1/06,01W,BASF SE
,17451,31/12/11,01W,
FRA,17452,31/1/06,02W,DANONE SA
AUS,17525,31/1/06,01W,ORIGIN ENERGY LTD
,43197,31/12/21,01W,
,27483,30/6/16,01W,
JPN,17542,31/1/06,01W,CSK CORP
AUS,17544,31/1/06,01W,CSR LTD
AUS,17629,31/1/06,01W,BURNS PHILP & CO LTD
,17639,31/12/11,01W,
,17653,31/12/12,01W,
JPN,17703,31/1/06,01W,CASIO COMPUTER CO LTD
JPN,17827,31/1/06,01W,DAI NIPPON PRINTING CO LTD
DEU,17828,31/1/06,01W,MERCEDES BENZ GROUP AG
JPN,17830,31/1/06,01W,DAIWA HOUSE INDUSTRY CO LTD
,17874,31/5/13,01W,
GBR,17887,31/1/06,01W,CHLORIDE GROUP PLC
ZAF,17947,31/1/06,01W,GOLD FIELDS LTD
,18004,31/12/12,01W,
,18071,31/12/12,01W,
BRA,18075,30/4/17,01W,AZUL SA
,18293,31/5/15,03W,
,18296,30/6/13,01W,
,18312,31/7/13,01W,
,18351,31/7/13,01W,
NZL,18369,31/1/06,01W,TENON LTD
,18383,31/12/12,01W,
,18441,31/12/11,01W,
,18465,31/12/12,01W,
JPN,18466,31/1/06,01W,SUBARU CORP
JPN,18467,31/1/06,01W,FUJITSU LTD
SGP,18472,31/1/06,02W,GRAND BANKS YACHTS LTD
GBR,18474,31/1/06,01W,GKN PLC
HKG,18526,31/1/06,02W,HONG KONG AND CHINA GAS COMP
JPN,18709,31/3/16,01W,KAJIMA CORP
,18624,30/6/12,01W,
GBR,18636,31/1/06,01W,DIAGEO PLC
HKG,18649,31/1/06,01W,HANG LUNG GROUP LTD
,18675,31/1/11,01W,
JPN,18687,31/1/06,01W,HITACHI CABLE LTD
,18700,31/12/11,01W,
,43198,31/12/21,01W,
JPN,18715,31/1/06,01W,KAO CORP
JPN,18729,31/1/06,01W,KIRIN HOLDINGS CO LTD
JPN,18957,28/2/17,01W,JAPAN AIRLINES CO LTD
,18732,31/1/06,01W,
BMU,18745,31/12/11,01W,ESSENT GROUP LTD
MYS,18753,31/1/06,01W,KUALA LUMPUR KEPONG BHD
ITA,19151,31/5/14,06W,TELECOM ITALIA SPA
JPN,18754,31/1/06,01W,KUMAGAI GUMI CO LTD
GBR,18756,31/1/06,03W,ENI LASMO PLC
GBR,18766,31/1/06,02W,LADBROKES CORAL GROUP PLC
,18792,31/12/11,01W,
GBR,18860,31/1/06,01W,MARKS & SPENCER GROUP PLC
,18875,31/10/13,01W,
JPN,18877,31/1/06,01W,MEIJI SEIKA KAISHA LTD
,18899,31/12/11,01W,
JPN,18931,31/1/06,01W,ISUZU MOTORS LTD
AUS,18934,31/1/06,01W,SYMBION HEALTH LTD
,18938,31/12/12,01W,
,19000,31/12/11,01W,
JPN,19002,31/1/06,01W,MINEBEA MITSUMI INC
JPN,19043,31/1/06,01W,MITSUBISHI ELECTRIC CORP
JPN,19045,31/1/06,02W,MITSUBISHI CHEMICAL GROUP
JPN,19048,31/1/06,01W,MITSUKOSHI LTD
HKG,19083,31/1/06,01W,NEW WORLD DEVELOPMENT CO LTD
JPN,19099,31/1/06,01W,NAGOYA RAILROAD CO LTD
JPN,19112,31/1/06,01W,DENSO CORP
JPN,19113,31/1/06,01W,NISSAN MOTOR CO LTD
JPN,19115,31/1/06,01W,NSK LTD
JPN,19141,31/1/06,01W,OJI HOLDINGS CORP
,43236,31/12/21,01W,
,19154,31/12/11,01W,
JPN,19157,31/1/06,01W,OMRON CORP
JPN,19165,31/1/06,01W,ONWARD HOLDINGS CO LTD
MYS,19246,31/1/06,01W,PPB GROUP BHD
AUS,19312,31/1/06,01W,LEYSHON RESOURCES LTD
GBR,19336,31/1/06,01W,P&O-PENIN & ORIENT STEAM NAV
JPN,19344,31/1/06,01W,SHISEIDO CO LTD
GBR,19348,31/1/06,01W,INVENSYS PLC
DEU,19349,31/1/06,01W,SIEMENS AG
FRA,19364,31/1/06,02W,ELF AQUITAINE SA
HKG,19380,31/1/06,01W,WING LUNG BANK LTD
AUS,19387,31/1/06,01W,LAGUNA RESOURCES NL
JPN,19413,31/1/06,01W,SUMITOMO ELECTRIC INDS LTD
JPN,19414,31/1/06,01W,SUMITOMO METAL INDS LTD
HKG,19421,31/1/06,01W,SUN HUNG KAI PROPERTIES LTD
AUS,19445,31/1/06,01W,PEARL HEALTHCARE LTD
JPN,19457,31/1/06,01W,TAIYO YUDEN CO LTD
,19507,31/12/12,01W,
GBR,19565,31/1/06,01W,RIO TINTO GROUP
SWE,19591,31/1/06,02W,SANDVIK AB
,19568,31/1/14,01W,
,19569,31/1/14,01W,
,19572,31/1/14,01W,
,19573,31/1/14,01W,
GBR,19579,31/1/06,01W,SAINSBURY (J) PLC
,43360,30/9/22,01W,
,19586,31/1/14,01W,
,19592,31/1/14,01W,
,19606,31/1/14,01W,
,19607,31/1/14,01W,
,19610,31/1/14,01W,
,19611,31/1/14,01W,
,19612,31/1/14,01W,
GBR,19613,31/1/06,01W,RANK GROUP PLC
,19619,31/1/14,01W,
,19620,31/1/14,01W,
,19621,31/1/14,01W,
,19623,31/1/14,01W,
MEX,19625,31/1/06,01W,TELMEX-TELEFONOS DE MEXICO
HKG,19626,31/1/06,01W,TELEVISION BROADCASTS LTD
,19627,31/1/14,01W,
,19628,31/1/14,01W,
,19629,31/1/14,01W,
,19630,31/1/14,01W,
,19631,31/1/14,01W,
,19632,31/1/14,01W,
,19633,31/1/14,01W,
GBR,19641,31/1/06,01W,EMI GROUP PLC
JPN,19646,31/1/06,01W,TOKYU FUDOSAN HOLDINGS CORP
JPN,19656,31/1/06,01W,TOTO LTD
JPN,19661,31/1/06,01W,TOYOTA MOTOR CORP
GBR,19666,31/1/06,01W,TDG PLC
,19713,31/1/06,01W,
,19730,30/6/12,01W,
