fic,gvkey,datadate,iid,conm
GBR,100794,31/1/06,01W,COBHAM PLC
AUS,100800,31/1/06,01W,MCPHERSONS LTD
IRL,100801,31/1/06,01W,KERRY GROUP PLC
GBR,100804,31/1/06,01W,MOWLEM PLC
GBR,100816,31/1/06,02W,TAYLOR WIMPEY PLC
AUS,100823,31/1/06,01W,ENERGY RESOURCES OF AUSTRALI
JPN,100827,31/1/06,01W,JAPAN STEEL WORKS LTD
SGP,100830,31/1/06,01W,GUOCOLAND LTD
AUS,100832,31/1/06,01W,TOOTH & CO LTD
JPN,100833,31/1/06,02W,KYOTARU CO LTD
AUS,100835,31/1/06,01W,ADBRI LTD
MYS,100837,31/1/06,01W,UNITED PLANTATIONS BHD
ITA,100942,30/6/10,04W,RENO DE MEDICI SPA
JPN,100839,31/1/06,01W,CANON MARKETING JAPAN INC
JPN,100840,31/1/06,01W,ASICS CORP
JPN,100846,31/1/06,01W,OSAKA GAS CO LTD
JPN,100848,31/1/06,01W,TOKYO GAS CO LTD
CHE,100862,31/1/06,03W,ADECCO GROUP AG
GBR,100864,31/1/06,01W,VOLEX PLC
JPN,100866,31/1/06,01W,RENOWN INC
SGP,100870,31/1/06,01W,METRO HOLDINGS LTD
GBR,100878,31/1/06,01W,HEYWOOD WILLIAMS GROUP PLC
AUS,100891,31/1/06,02W,DAVID JONES LTD
GBR,100892,31/1/06,01W,STUDIO RETAIL GROUP PLC
AUS,100894,31/1/06,02W,WOOLWORTHS GROUP LTD
DEU,100895,31/1/06,01W,KALI-CHEMIE AG
GBR,100900,31/1/06,01W,GALLIFORD TRY HOLDINGS PLC
MYS,100901,31/1/06,01W,TAN CHONG MOTOR HOLDINGS BHD
MYS,100903,31/1/06,01W,HENGYUAN REFINING CO BHD
MYS,100905,31/1/06,01W,NEW STRAITS TIMES PRESS (M)
JPN,100906,31/1/06,01W,NGK INSULATORS LTD
GBR,100908,31/1/06,01W,TAYLOR NELSON SOFRES PLC
GBR,100909,31/1/06,01W,RS GROUP PLC
GBR,100911,31/1/06,01W,4IMPRINT GROUP PLC
NOR,100913,31/1/06,03W,ORKLA ASA
MYS,100915,31/1/06,01W,ISLAND & PENINSULAR BHD
MYS,100916,31/1/06,01W,MALAYSIAN AIRLINE SYSTEM BHD
AUS,100918,31/1/06,01W,LENDLEASE GROUP
JPN,100919,31/1/06,01W,OBAYASHI CORP
GBR,100921,31/1/06,02W,MARSHALLS
SGP,100922,31/1/06,01W,CITY DEVELOPMENTS LTD
MYS,100924,31/1/06,01W,BANDAR RAYA DEVELOPMENTS BHD
JPN,100926,31/1/06,01W,SEKISUI HOUSE LTD
GBR,100929,31/1/06,01W,LOW & BONAR PLC
MYS,100931,31/1/06,02W,UEM EDGENTA BHD
ZAF,100932,31/1/06,01W,ELLERINE HOLDINGS LTD
GBR,100934,31/1/06,01W,ALEXON GROUP PLC
ITA,100936,31/1/06,02W,ALITALIA SPA
GBR,100938,31/1/06,01W,ALEXANDRA PLC
MYS,100939,31/1/06,01W,TASEK CORP BHD
MYS,100945,31/1/06,02W,BRITISH AMER TOB (MALAYSIA)
MYS,100948,31/1/06,01W,UAC BHD
JPN,100949,31/1/06,01W,TAISEI CORP
DEU,100950,31/1/06,01W,VATTENFALL EUROPE AG
GBR,100951,31/1/06,01W,DIPLOMA PLC
MYS,100952,31/1/06,01W,MMC CORPORATION BHD
DEU,100953,31/1/06,01W,RWE AKTIENGESELLSCHAFT
ESP,100954,31/1/06,01W,CEPSA-CIA ESPANOLA DE PETROL
SWE,100956,31/1/06,04W,SWEDISH MATCH AB
ESP,100957,31/1/06,01W,IBERDROLA SA
JPN,100988,28/2/22,01W,DAIDO STEEL CO LTD
GBR,100962,31/1/06,01W,BOOT (HENRY) PLC
GBR,100967,31/1/06,01W,LOGICA PLC
GBR,100968,31/1/06,01W,KIN AND CARTA PLC
BEL,100977,31/1/06,04W,ELECTRABEL SA/NV
SWE,100980,31/1/06,02W,SKANSKA AB
JPN,100982,31/1/06,01W,SHIMIZU CORP
MYS,100983,31/1/06,01W,MAGNUM BHD
GBR,100987,31/1/06,01W,BNB RECRUITMENT SOLUTIONS
JPN,100991,31/1/06,01W,IWATSU ELECTRIC CO LTD
JPN,100992,31/1/06,01W,KANSAI PAINT CO LTD
GBR,101004,31/1/06,01W,SMITH DS PLC
GBR,101008,31/1/06,01W,GREGGS PLC
GBR,101009,31/1/06,01W,BERKELEY GROUP HLDGS PLC
FIN,101020,31/10/07,06W,STORA ENSO OYJ
SGP,101011,31/1/06,01W,OUE LTD
MYS,101014,31/1/06,01W,HUME INDUSTRIES (MALAYS) BHD
FIN,101017,31/1/06,01W,METSA BOARD CORP
FIN,101023,31/1/06,01W,KONE OYJ
,131579,31/1/06,01W,
GBR,101024,31/1/06,01W,CONSORT MEDICAL PLC
GBR,101033,31/1/06,01W,ARRIVA PLC
JPN,101034,31/1/06,01W,KURITA WATER INDUSTRIES LTD
JPN,101035,31/1/06,01W,NITERRA CO LTD
JPN,101040,31/1/06,01W,JSR CORPORATION
JPN,101042,31/1/06,01W,KAWASAKI KISEN KAISHA LTD
JPN,101043,31/1/06,01W,NIPPON KAYAKU CO LTD
JPN,101044,31/1/06,01W,NIPPON SANSO HOLDINGS CORP
JPN,101047,31/1/06,01W,NISSHIN OILLIO GROUP LTD
SWE,101048,31/1/06,02W,TRELLEBORG AB
GBR,101050,31/1/06,01W,BODY SHOP INTERNATIONAL PLC
GBR,101051,31/1/06,01W,INTERSERVE PLC
GBR,101052,31/1/06,01W,ASCENTIAL PLC
GBR,101054,31/1/06,01W,STV GROUP PLC
GBR,101056,31/1/06,01W,LOOKERS PLC
DEU,101059,31/1/06,01W,AXEL SPRINGER SE
JPN,101063,31/1/06,01W,TOBISHIMA HOLDINGS INC
FRA,101097,31/3/16,14W,BOUYGUES SA
JPN,101068,31/1/06,01W,SUMITOMO BAKELITE CO LTD
JPN,101069,31/1/06,01W,TEIJIN LTD
JPN,101070,31/1/06,01W,HANKYU HANSHIN HLDGS INC
JPN,101071,31/1/06,01W,NORITAKE CO LTD
MYS,101072,31/1/06,01W,IGB CORP BHD
JPN,101073,31/1/06,01W,NITTO BOSEKI CO LTD
JPN,101074,31/1/06,01W,SKYLARK HOLDINGS CO LTD
DEU,101076,31/1/06,01W,BAYER SCHERING PHARMA AG
JPN,101077,31/1/06,01W,TSUGAMI CORP
GBR,101080,31/1/06,01W,MACFARLANE GROUP PLC
JEY,101082,31/1/06,01W,CHARTER INTERNATIONAL
ITA,101083,31/1/06,01W,SAIPEM S P A
JPN,101086,31/1/06,01W,MEGMILK SNOW BRAND CO LTD
CYM,101088,31/1/06,01W,CK HUTCHISON HOLDINGS LTD
GBR,101092,31/1/06,01W,MCCARTHY & STONE PLC-OLD
GBR,101094,31/1/06,01W,MCALPINE (ALFRED) PLC
GBR,101095,31/1/06,01W,RESTAURANT GROUP PLC
JPN,101098,31/1/06,01W,HINO MOTORS LTD
GBR,101101,31/1/06,01W,N BROWN GROUP PLC
HKG,101102,31/1/06,01W,HARBOUR CENTRE DEVELPMNT LTD
BMU,101103,31/1/06,01W,TRANSPORT INTL HLDGS LTD
PNG,101128,30/9/19,01W,BOUGAINVILLE COPPER LTD
GBR,101105,31/1/06,01W,WIMPEY (GEORGE) PLC
JPN,101110,31/1/06,01W,LION CORP
ZAF,101112,31/1/06,01W,TONGAAT-HULETT LTD
JPN,101115,31/1/06,01W,KUREHA CORP
DEU,101120,31/1/06,01W,AUDI AG
GBR,101122,31/1/06,01W,CARCLO PLC
DEU,101124,31/1/06,01W,FRIWO AG
JPN,101125,31/1/06,01W,KOITO MANUFACTURING CO LTD
JPN,101127,31/1/06,01W,MITSUI CHEMICALS INC
DNK,101130,31/1/06,04W,CARLSBERG A/S
JPN,101131,31/1/06,01W,YAMAHA CORP
DNK,101134,31/1/06,02W,DANISCO A/S
JPN,101138,31/1/06,01W,DAIKIN INDUSTRIES LTD
GBR,101139,31/1/06,01W,DOMINO PRINTING SCIENCES PLC
GBR,101140,31/1/06,01W,MS INTERNATIONAL PLC
ITA,101143,31/1/06,03W,ITALCEMENTI SPA
DEU,101148,31/1/06,01W,LECHWERKE AG
GBR,101152,31/1/06,02W,WESTCITY PLC
JPN,101154,31/1/06,01W,ZEON CORP
JPN,101155,31/1/06,01W,SUZUKI MOTOR CO LTD
DNK,101156,31/1/06,01W,NKT A/S
FRA,101158,31/1/06,01W,DMC DOLLFUS MIEG ET CIE
JPN,101159,31/1/06,01W,TOYO TIRE CORP
JPN,101160,31/1/06,01W,SUMITOMO OSAKA CEMENT CO LTD
DNK,101178,31/3/10,02W,FLSMIDTH & CO AS
DEU,101161,31/1/06,01W,GELSENWASSER AG
GBR,101163,31/1/06,01W,FKI PLC
FRA,101170,31/1/06,01W,COMPAGNIE CHARGEURS INVEST
FRA,101173,31/1/06,01W,CASINO GUICHARD-PERRACHON SA
ITA,101174,31/1/06,01W,SNIA SPA
,129019,31/1/06,01W,
BMU,101180,31/1/06,03W,DFI RETAIL GROUP HOLDINGS
BMU,101182,31/1/06,03W,MANDARIN ORIENTAL INTL LTD
GBR,101183,31/1/06,01W,CHRYSALIS PLC
JPN,101185,31/1/06,01W,TAKARA HOLDINGS INC
GBR,101188,31/10/06,02W,HOGG ROBINSON GROUP PLC
ESP,101189,31/1/06,01W,ERCROS SA
HKG,101193,31/1/06,01W,HONG KONG AIRCRAFT ENGIN CO
HKG,101194,31/1/06,01W,SAN MIGUEL BREWERY HONG KONG
GBR,101198,31/1/06,01W,MACRO 4 PLC
GBR,101201,31/1/06,01W,ELECO PLC
FRA,101202,31/1/06,01W,L'AIR LIQUIDE SA
FRA,101204,31/1/06,01W,SANOFI
NLD,101206,31/1/06,01W,HAVAS N V
GBR,101207,31/1/06,01W,MEGGITT PLC
ESP,101209,31/1/06,01W,ALTADIS SA
GBR,101210,31/1/06,01W,APTITUDE SOFTWARE GROUP PLC
JPN,101214,31/1/06,01W,SUMITOMO WAREHOUSE CO LTD
BMU,101217,31/1/06,01W,REGAL HOTELS INTERNATNL HLDG
FRA,101222,31/1/06,02W,CIMENTS FRANCAIS
GBR,101224,31/1/06,01W,NICHOLS PLC
FRA,101228,31/1/06,01W,CLUB MEDITERRANEE SA
GBR,101229,31/1/06,01W,PITTARDS PLC
GBR,101232,31/1/06,01W,PERSIMMON PLC
GBR,101233,31/1/06,02W,ME GROUP INTERNATIONAL PLC
HKG,101235,31/1/06,01W,WINSOR INDUSTRIAL CORP
DEU,101238,31/1/06,01W,WMF AG
AUS,101239,31/1/06,01W,LION NATHAN LTD
GBR,101240,31/1/06,01W,BAA PLC
GBR,101241,31/1/06,01W,ROTORK PLC
JPN,101247,31/1/06,01W,KURARAY CO LTD
FRA,101248,31/1/06,03W,ESSILORLUXOTTICA SOCIETE
FRA,101264,31/12/08,03W,VIVENDI SE
GBR,101249,30/4/14,02W,GENUIT GROUP PLC
FRA,101251,31/1/06,01W,ESSO SAF
NZL,101256,31/1/06,01W,FISHER & PAYKEL HEALTHCARE
FRA,101260,31/1/06,01W,FROMAGERIES BEL SA
GBR,101261,31/1/06,01W,VIDENDUM PLC
GBR,101270,31/1/06,01W,SANDERSON DESIGN GROUP PLC
GBR,101275,31/1/06,01W,AIREA PLC
NLD,101276,31/1/06,02W,STELLANTIS NV
FRA,101277,31/1/06,03W,COMPAGNIE GENERALE DES
GBR,101279,31/1/06,01W,WHATMAN PLC
FRA,101281,31/1/06,01W,SAVENCIA SA
DEU,101286,31/1/06,01W,LEONI AG
DNK,101290,31/1/06,01W,DET STASIATISKE KOMPAGNI A/S
FRA,101292,30/11/07,01W,PUBLICIS GROUPE SA
FRA,101305,31/5/15,04W,SAFRAN SA
GBR,101298,31/1/06,01W,WESTBURY PLC
CHE,101299,31/1/06,02W,GEORG FISCHER AG
GBR,101301,31/1/06,01W,SCOTTISH & NEWCASTLE PLC
GBR,101302,31/1/06,01W,SYNTHOMER PLC
CHE,101304,31/1/06,01W,HOLCIM LTD
CHE,101306,31/1/06,01W,JELMOLI HOLDING AG
CHE,101310,31/1/06,01W,NOVARTIS AG
MCO,101314,31/1/06,01W,LAGARDERE ACTIVE BROADCAST
GBR,101317,31/1/06,01W,SMITH & NEPHEW PLC
FRA,101320,30/6/15,01W,SPIE
FRA,101327,31/1/06,01W,SEB SA
ESP,101330,31/1/06,01W,UNION FENOSA SA
GBR,101333,31/1/06,01W,WILSON BOWDEN PLC
CHE,101335,31/1/06,01W,SULZER LTD
FRA,101336,31/1/06,02W,SCHNEIDER ELECTRIC S E
CHE,101340,31/1/06,01W,SGS SA
CHE,101343,31/1/06,01W,SCHINDLER HOLDING AG
CHE,101347,31/1/06,01W,SWATCH GROUP AG
AUS,101349,31/1/06,01W,ARIADNE AUSTRALIA LTD
CHE,101350,31/1/06,01W,SIKA AG
FRA,101352,31/1/06,01W,ALCATEL-LUCENT
CHE,101353,31/1/06,03W,KUONI REISEN AG
DEU,101355,31/1/06,01W,DIERIG HOLDING AG
BEL,101356,31/1/06,03W,CMB-CIE MARITIME BELGE NV/SA
JPN,101357,31/1/06,01W,NISSHINBO HOLDINGS INC
FRA,101396,28/2/18,08W,PERNOD RICARD SA
ITA,101358,31/1/06,01W,CICCOLELLA SPA
JPN,101359,31/1/06,01W,TOBU RAILWAY CO LTD
JPN,101360,31/1/06,01W,SANRIO COMPANY LTD
NLD,101361,31/1/06,02W,WOLTERS KLUWER NV
DNK,101363,31/1/06,01W,DFDS AS
NLD,101364,31/1/06,01W,CEMENTIR HOLDING NV
IRL,101366,31/1/06,02W,SOUTH WHARF PLC
IRL,101370,31/1/06,02W,ROEBUCK FOOD GROUP PLC
IRL,101373,31/1/06,01W,READYMIX PLC
GBR,101374,31/1/06,01W,PEBBLE BEACH SYSTEMS GROUP
ESP,101376,31/1/06,01W,EXIDE TECHNOLOGIES SA
JPN,101377,31/1/06,01W,SEINO HOLDINGS CO
IRL,101379,31/1/06,01W,UNIDARE PLC
IRL,101380,31/1/06,01W,JURYS DOYLE HOTEL GROUP PLC
LUX,101383,31/1/06,02W,ARBED SA
ITA,101384,31/1/06,01W,MARZOTTO & FIGLI SPA-MANIFAT
IRL,101388,31/1/06,01W,IWP INTERNATIONAL PLC
DEU,101390,31/1/06,01W,KSB SE & CO KGAA
AUS,101392,31/1/06,01W,BEACH ENERGY LTD
BEL,101394,31/1/06,01W,SOLVAY SA
IRL,101404,31/1/06,01W,GRAFTON GROUP PLC
FRA,101451,31/8/06,01W,RECYLEX SA
FRA,101406,31/1/06,04W,BULL SA
JPN,101407,31/1/06,01W,DIC CORPORATION
CHE,101416,31/1/06,02W,VON ROLL AG
AUS,101420,31/1/06,01W,CAPRAL LIMITED
GBR,101433,31/1/06,01W,DOWDING & MILLS PL
AUT,101434,31/1/06,01W,LENZING AG
FRA,101435,31/1/06,01W,CFF RECYCLING
FRA,101436,31/1/06,01W,SOMFY SA
ITA,101438,31/1/06,01W,SIRTI SPA
ESP,101445,31/1/06,01W,ZARDOYA OTIS SA
JPN,101448,31/1/06,01W,MITSUI E&S CO LTD
GBR,101449,31/1/06,01W,INCHCAPE PLC
JPN,101452,31/1/06,01W,JEOL LTD
MYS,101453,31/1/06,01W,HAP SENG CONSOLIDATED BHD
MYS,101454,31/1/06,01W,CHEMICAL CO OF MALAYSIA BHD
GBR,101474,30/9/22,01W,BODYCOTE PLC
MYS,101455,31/1/06,01W,FIMA CORP BHD
MYS,101460,31/1/06,02W,MAGNUM CORP BHD
BEL,101465,31/1/06,01W,COLRUYT GROUP NV
,131580,31/1/06,01W,
BEL,101466,31/1/06,01W,PAPETERIES DE CATALA SA
FRA,101467,31/1/06,01W,VALLOUREC SA
NZL,101472,31/1/06,01W,CARTER HOLT HARVEY LTD
FRA,101475,31/1/06,01W,AIR FRANCE KLM SA
BEL,101483,31/1/06,02W,FINANCIERE DE TUBIZE S.A.
DNK,101487,31/1/06,01W,BORDING (FE) A/S
JPN,101489,31/1/06,01W,HOKUETSU CORPORATION
DNK,101491,31/1/06,01W,ARKIL HOLDING A/S
DNK,101493,31/1/06,01W,BRODRENE HARTMANN A/S
GBR,101494,31/1/06,01W,FIRST CHOICE HOLIDAYS PLC
FRA,101500,31/1/06,01W,COLAS SA
CHE,101501,31/1/06,01W,CARLO GAVAZZI HOLDING AG
MYS,101509,31/1/06,02W,UMW HOLDINGS BHD
AUS,101513,31/1/06,01W,ST BARBARA LTD
MYS,101514,31/1/06,01W,PANASONIC MFG MALAYSIA
FRA,101518,31/1/06,01W,GUYENNE ET GASCOGNE SA
GBR,101526,31/1/06,02W,RENEWI PLC
GBR,101528,31/1/06,01W,THORNTONS PLC
ESP,101529,31/1/06,01W,ACERINOX SA
DNK,101530,31/1/06,01W,AURIGA INDUSTRIES A/S
DNK,101533,31/1/06,01W,SANISTAL A/S
ITA,101535,31/1/06,01W,BOERO BARTOLOMEO SPA
DNK,101539,30/6/13,02W,GN STORE NORD A/S
DNK,101538,31/1/06,01W,COLOPLAST A/S
AUS,101540,31/1/06,01W,CRANE GROUP LTD
MYS,101545,31/1/06,01W,ANN JOO STEEL BHD
JPN,101549,31/1/06,01W,TEKKEN CORP
JPN,101551,31/1/06,01W,AIDA ENGINEERING LTD
ESP,101553,31/1/06,01W,SACYR SA
SGP,101555,31/1/06,01W,ACMA LTD
NOR,101556,31/1/06,04W,NORSKE SKOGINDUSTRIER A/S
FIN,101557,31/1/06,01W,WARTSILA OYJ ABP
MYS,101560,31/1/06,01W,SAPURA RESOURCES BHD
SWE,101563,31/1/06,02W,LE LUNDBERGFORETAGEN AB
FIN,101564,31/1/06,01W,LASSILA & TIKANOJA GROUP
SWE,101585,31/10/19,02W,BILIA AB
AUS,101568,31/1/06,01W,AMOTIV LIMITED
SGP,101569,31/1/06,01W,INTERPLEX HOLDINGS LTD
HKG,101571,31/1/06,01W,WHEELOCK & CO LTD
HKG,101572,31/1/06,01W,MIRAMAR HOTEL & INVST CO LTD
SGP,101574,31/1/06,01W,SC GLOBAL DEVELOPMENTS LTD
BEL,101579,31/1/06,01W,FLORIDIENNE SA/NV
SGP,101581,31/1/06,01W,FURAMA LTD
SGP,101584,31/1/06,01W,CHEMICAL INDUSTRIES FAR EAST
SGP,101586,31/1/06,01W,AF GLOBAL LTD
SGP,101591,31/1/06,01W,HOTEL GRAND CENTRAL LTD
SGP,101592,31/1/06,01W,ICP LTD
SGP,101594,31/1/06,01W,HOTEL ROYAL LTD
AUS,101596,31/1/06,01W,NATIONAL CAN INDUSTRIES LTD
AUS,101597,31/1/06,01W,MACMAHON HOLDINGS LTD
AUS,101599,31/1/06,01W,ILUKA RESOURCES LTD
AUS,101601,31/1/06,01W,WESFARMERS LTD
AUS,101702,28/2/06,01W,KRESTA HOLDINGS LTD
AUS,101603,31/1/06,01W,CIMIC GROUP LTD
AUS,101605,31/1/06,01W,REECE LTD
AUS,101607,31/1/06,02W,METALS EXPLORATION INC
SGP,101608,31/1/06,01W,HWA HONG CORP LTD
LUX,101609,31/1/06,01W,CEGEDEL SA
ITA,101612,31/1/06,01W,GEDI GRUPPO EDITORIALE S.P.A
AUS,101613,31/1/06,02W,NUFARM LTD
CUW,101618,31/1/06,01W,HUNTER DOUGLAS NV
BEL,101619,31/1/06,01W,ZENITEL NV
BEL,101620,31/1/06,01W,SPADEL SA
BEL,101622,31/1/06,01W,SABCA-SA BELGE CONSTRU AERON
GBR,101625,31/1/06,01W,NORTHAMBER PLC
GBR,101626,31/1/06,01W,BAGGERIDGE BRICK PLC
SGP,101628,31/1/06,01W,HOTEL PROPERTIES LTD
GBR,101630,31/1/06,01W,VP PLC
DEU,101632,31/1/06,01W,ADM HAMBURG AG
DEU,101633,31/1/06,01W,BHS TABLETOP AG
DEU,101634,31/1/06,01W,DYCKERHOFF AG
SGP,101635,31/1/06,01W,CHINA MERCHANTS HLDGS PACIFI
DEU,101642,31/1/06,01W,PHOENIX AG
BEL,101643,31/1/06,01W,WHAT'S COOKING GROUP NV/SA
SGP,101650,31/1/06,01W,HOTEL NEGARA LTD
JPN,101651,31/1/06,01W,HIROSE ELECTRIC CO LTD
JPN,101652,31/1/06,01W,TOSOH CORP
JPN,101654,31/1/06,01W,MARUHA NICHIRO CORP
DEU,101658,31/1/06,01W,LEIFHEIT AG
AUS,101661,31/1/06,01W,WATTYL LTD
GBR,101664,31/1/06,01W,QA PLC
JPN,101665,31/1/06,01W,TOHO TENAX CO LTD
AUS,101671,31/1/06,02W,CONSOLIDATED RUTILE LTD
ITA,101678,31/1/06,01W,PININFARINA SPA
ITA,101680,31/1/06,01W,VIANINI SPA
GBR,101688,31/1/06,01W,GUS PLC
ITA,101689,31/1/06,04W,SAES GETTERS SPA
ITA,101691,31/1/06,01W,LINIFICIO CANAPIFICIO NAZION
SWE,101693,31/1/06,01W,BERGMAN & BEVING AKTIEBOLAG
AUS,101709,31/1/06,02W,TEN NETWORK HOLDINGS LTD
CHE,101710,31/1/06,02W,AGIE CHARMILLES HOLDING AG
FIN,101714,31/1/06,04W,HUHTAMAKI OYJ
FIN,101718,31/1/06,03W,UPM KYMMENE OYJ
CHE,101719,31/1/06,01W,DATWYLER HOLDING AG
FRA,101811,30/9/11,19W,COMPAGNIE DE SAINT GOBAIN
ITA,101721,31/1/06,01W,VIANINI LAVORI SPA
GBR,101724,31/1/06,01W,CARE UK PLC
BEL,101727,31/1/06,01W,ROSIER SA
BEL,101728,31/1/06,01W,PICANOL
FRA,101732,30/6/13,02W,FNAC DARTY SA
FIN,101736,31/1/06,01W,LINDEX GROUP OYJ
FIN,101737,31/1/06,01W,AMER SPORTS CORP
FIN,101739,31/1/06,01W,FISKARS OY
AUS,101742,31/1/06,02W,GWA GROUP LTD
DNK,101744,31/1/06,01W,HOMETOWN A/S
JPN,101747,31/1/06,01W,TOSHIBA CERAMICS CO LTD
JPN,101748,31/1/06,01W,KANEMATSU CORP
JPN,101750,31/1/06,01W,UBE CORPORATION
JPN,101751,31/1/06,01W,MARUZEN CHI HOLDINGS CO LTD
JPN,101753,31/1/06,01W,BOSCH CORP
JPN,101754,31/1/06,01W,NIPPON ELECTRIC GLASS CO LTD
JPN,101755,31/1/06,01W,KYB CORP
JPN,101756,31/1/06,01W,DAIHATSU MOTOR CO LTD
JPN,101757,31/1/06,01W,NISHIMATSU CONSTRUCTION CO
JPN,101758,31/1/06,01W,TOMEN CORP
JPN,101759,31/1/06,01W,TOYOTA INDUSTRIES CORP
JPN,101761,31/1/06,01W,NISSAN DIESEL MOTOR CO LTD
JPN,101763,31/1/06,01W,RYOBI LTD
JPN,101766,31/1/06,01W,KANADEVIA CORPORATION
JPN,101767,31/1/06,01W,CLARION CO LTD
DEU,101768,31/1/06,01W,MCKESSON EUROPE AG
JPN,101769,31/1/06,01W,SHIKOKU ELECTRIC POWER CO
JPN,101770,31/1/06,01W,RHYTHM CO LTD
JPN,101771,31/1/06,01W,MEIDENSHA CORP
JPN,101772,31/1/06,01W,TOYOBO CO LTD
JPN,101775,31/1/06,01W,ASAHI DIAMOND IND CO
DEU,101776,31/1/06,01W,SUED-CHEMIE AG
JPN,101778,31/1/06,01W,SHOWA SHELL SEKIYU KK
JPN,101779,31/1/06,01W,TBS HOLDINGS INC
JPN,101780,31/1/06,01W,JGC HOLDINGS CORP
JPN,101781,31/1/06,01W,TSUBAKIMOTO CHAIN CO
BEL,101783,31/1/06,01W,D'IETEREN GROUP SA
HKG,101784,31/1/06,02W,HUTCHISON WHAMPOA LTD
DEU,101785,31/1/06,01W,KERAMAG-KERAMISCHE WERKE AG
BEL,101787,31/1/06,01W,DECEUNINCK NV/SA
JPN,101788,31/1/06,01W,NISSHIN SEIFUN GROUP INC
JPN,101789,31/1/06,01W,NOSAN CORP
DNK,101790,31/1/06,01W,NESA A/S
DNK,101791,31/1/06,01W,RIAS A/S
DNK,101794,31/1/06,01W,MONBERG & THORSEN A/S
DNK,101795,31/1/06,03W,BIOMAR HOLDING A/S
HKG,101807,31/1/06,01W,LAI SUN GARMENT (INTL) LTD
NLD,101808,31/1/06,01W,GROLSCH (KONINKLIJKE) NV
DNK,101809,31/1/06,02W,SKAKO AS
BMU,101812,31/1/06,02W,DYNAMIC HOLDINGS LTD
DNK,101815,31/1/06,02W,EGETAEPPER A/S
BMU,101816,31/1/06,01W,CHEVALIER INTL HLDGS LTD
DNK,101817,31/1/06,01W,SCANDINAVIAN INVESTMENT GROU
NOR,101833,31/7/24,03W,VEIDEKKE A/S
DNK,101818,31/1/06,02W,INVESTERINGSSELSKABET LUXOR
DNK,101820,31/1/06,01W,DANTRUCK
JPN,101824,31/1/06,01W,LIXIL CORPORATION
HKG,101826,31/1/06,02W,SHAW BROS (HONG KONG) LTD
FIN,101828,31/1/06,01W,TIETOEVRY OYJ
JPN,101830,31/1/06,01W,TEIKOKU OIL CO LTD
NOR,101836,31/1/06,01W,WILH WILHELMSEN HOLDING ASA
JPN,101947,31/5/21,01W,H2O RETAILING CORP
AUT,101838,31/1/06,01W,AUSTRIAN AIRLINES
FIN,101839,31/1/06,01W,OUTOKUMPU OY
,129020,31/1/06,01W,
NLD,101840,31/1/06,01W,HAGEMEYER NV
DEU,101841,31/1/06,01W,PITTLER MASCHINENFABRIK AG
ITA,101842,31/1/06,01W,ACQUE POTABILI SPA
DNK,101843,31/1/06,02W,ANDERSEN & MARTINI HLDG AS
JPN,101846,31/1/06,01W,SUMITOMO CORP
JPN,101847,31/1/06,01W,SHOWA SANGYO CO LTD
JPN,101851,31/1/06,01W,FUJI ELECTRIC CO LTD
CHE,101853,31/1/06,01W,OC OERLIKON CORP AG
DNK,101855,31/1/06,01W,MIGATRONIC A/S
DNK,101857,31/1/06,01W,EXPEDIT A/S
GBR,101859,31/1/06,02W,GCAP MEDIA PLC
GBR,101861,31/1/06,01W,HUNTING PLC
JPN,101866,31/1/06,01W,MEIJI HOLDINGS CO LTD
CHE,101868,31/1/06,02W,AIRESIS SA
JPN,101869,31/1/06,01W,JAPAN AVIATION ELECTRONICS
CHE,101870,31/1/06,01W,SIEGFRIED HOLDING LTD
GBR,101871,31/1/06,01W,FULLER SMITH & TURNER PLC
JPN,101875,31/1/06,01W,TOPY INDUSTRIES LTD
MYS,101877,31/1/06,01W,SIME DARBY BHD
JPN,101883,31/1/06,01W,AICHI STEEL CORP
JPN,101884,31/1/06,01W,WAKACHIKU CONSTRUCTION CO
DNK,101887,31/1/06,02W,EUROPEINVESTMENT AS
JPN,101890,31/1/06,01W,NIPPON SIGNAL CO LTD
JPN,101891,31/1/06,01W,SHIMADZU CORP
JPN,101892,31/1/06,01W,NIPPON PAINT HOLDINGS CO LTD
CHE,101893,31/1/06,03W,RIETER HOLDING AG
JPN,101894,31/1/06,01W,NOF CORP
CHE,101895,31/1/06,02W,CHOCOLADEFABRIKEN LINDT
JPN,101896,31/1/06,01W,TOKYO STEEL MANUFACTURING CO
JPN,101897,31/1/06,01W,MARUICHI STEEL TUBE LTD
JPN,101898,31/1/06,01W,MITSUBISHI STEEL MFG CO LTD
JPN,101899,31/1/06,01W,HITACHI KOKI CO LTD
JPN,101901,31/1/06,01W,MIZUNO CORP
JPN,101902,31/1/06,01W,YAKULT HONSHA CO LTD
JPN,101903,31/1/06,01W,HANWA CO LTD
JPN,101904,31/1/06,01W,TOKUYAMA CORP
FRA,101908,31/1/06,01W,TAITTINGER-COMP COMMERCIALE
CHE,101909,31/1/06,03W,SAURER AG
JPN,101910,31/1/06,01W,GUNZE LTD
JPN,101914,31/1/06,01W,NITTETSU MINING CO LTD
JPN,101915,31/1/06,01W,IZUMIYA CO LTD
DEU,101921,31/1/06,01W,ST-GOBAIN OBERLAND AG
BEL,101922,31/1/06,02W,BARCO NV
GBR,101924,31/1/06,01W,PREMIER OIL PLC
